Frame,Time,0001_1,0001_2,0001_3,0001_4,0001_5,0001_6,0001_7,0001_8,0002_1,0002_2,0002_3,0002_4,0002_5,0002_6,0003_1,0003_2,0003_3,0003_4,0003_5,0003_6,0003_8,0004_1,0004_2,0004_3,0004_4,0004_5,0004_6,0004_7,0004_8,0005_1,0005_2,0005_3,0005_4,0005_5,0005_6,0006_1,0006_2,0006_3,0006_4,0006_5,0006_6,0006_8,0007_1,0007_2,0007_3,0007_4,0007_5,0007_6,0007_7,0007_8,0007_9
65,4.571428571428571,,2647360.4633810716,,,,2597458.6907167253,,,,2802176.5747066317,,2887551.4174295585,,,,,,2336885.8006027313,,2752580.3692026576,,,,,,,,,,,,,,,,,,,,1682265.2238852445,,,2825514.5265880967,,3231351.0209612683,2737545.5436329423,3207591.810601688,,2953926.572240653,,2639116.1820524046
66,4.642857142857142,2331476.2187899807,2554001.4434334007,2395139.054545491,,,,,,,2686380.2579565737,,3028367.4956237515,,,,,,,,2821598.407231024,,,,,,,,,,,,,,,,,,,,2723871.388630439,,,3202206.528193227,,3246482.6988243293,2830522.405254875,3297041.1144820973,,3135293.759924546,,2600091.7308812845
67,4.714285714285714,,2542420.4453559294,,,,,,,,2635287.481770627,,2820198.273906321,3475005.7007155586,,,2608062.571034936,,,,2973192.4263433204,,,,,,,,,,,,,,,1720438.7518618954,,,,,2639665.2763319756,,,3203120.7382828323,,2942916.197450383,2889506.0336931627,3408500.646770862,,2872201.2267436674,,2413083.3256060197
68,4.785714285714286,,2730785.469140009,2593841.812961473,,,,,2572427.1730315904,,2616325.2197857904,,,3408817.1726805503,,,,,,,2894126.541205659,3007548.970287292,,,,,,,,,,,,,,,,,,,2763559.3795818845,,,3122466.290497632,,3033308.6702415184,3005730.569268198,3460341.611797407,,2762115.0274880016,,2604639.116112744
69,4.857142857142857,,2482025.1205182215,2502112.201736076,,,,,,,3116629.597864558,,2909672.355706083,,,,,,2813949.7860845556,,2696526.661711111,3157819.506484719,,,,,,,,,,,,,,,,,,,,,,3013249.960895316,,2972234.822484727,3081486.447016992,3340409.9895013412,,2866003.675824133,,2491882.024060548
70,4.928571428571428,,2627405.0601352355,2476428.543184124,,,2678085.030905772,,,,3062465.717870728,,3021235.0848390656,,,,,,2716932.8689670484,,2948449.894460357,,,,,,,,,,,,,,,,,,,,,,,3076028.9817395876,,3109704.45882639,3134553.6063355803,3374741.6414630865,,3102041.825974486,,
71,5.0,,2670054.9323214362,,,,2677388.062988678,,,,3173738.942991392,,3000058.693282376,3284362.1767793484,,,,,2474742.2066165595,,2880384.9603810557,,,,,,,,,,,,,,,,,,,,,,3054465.03071939,2915689.1765634143,,3088961.2202820587,3069454.268627435,3378711.035329778,,2998931.862789932,,2459211.2272885987
72,5.071428571428571,,2610904.1407447746,2363941.4674242497,,,,,,,3098726.3844500976,,,,,,,,2087009.7978315982,,2770295.804057612,,,,,,,,,,,,,,,,,,,,,,3029270.0808580075,2791189.141188068,,3284857.344254714,3107568.3784377896,3586925.203882598,,3006410.6515403786,,2573587.1033884715
73,5.142857142857142,2299762.330849584,2641920.392880427,,,,2640858.3668358903,,2627249.8806934017,,,,2936947.7032831544,,,,,,2385947.5591120296,,2840566.5707706767,,,,,,,,,,,,,,,,,,,,2654722.6942330077,,2837092.829069465,3039573.5549363242,,3233217.628420113,3125185.1757893637,3508563.5922047812,,3016743.80553502,,2505921.426505335
74,5.214285714285714,,2605107.9412940624,2514151.797528327,,,,,,,3196388.5094409054,,,,,,,,2634572.5862203413,,2643274.3957709796,3046855.3096777084,,,,,,,,,,,,,,,,,,,2658076.611016351,,,3295328.512584336,,3188794.724482612,3293881.485833341,3581830.775156406,,3170772.720255281,,2275722.980091248
