Frame,Time,0001_1,0001_2,0001_3,0002_1,0002_2,0002_3,0002_4,0003_1,0003_2,0003_3,0003_4,0004_1,0004_2,0004_3,0004_4,0005_1,0005_2,0005_3,0005_4
89,6.285714285714286,2088931.2842731937,2296953.8270336455,,2200306.656067212,1830480.3397527407,2223151.248856607,,2362833.445666136,1963603.701599644,,,2756403.2305761636,2732444.2680227575,2626545.9633763377,,2737728.3324083043,,2922216.339329346,
90,6.357142857142857,2003020.967500874,2404915.90407654,,2255370.1525924522,1819715.9406346134,2079983.706512362,,2439843.2743031695,1887349.0019037325,,,2681367.4489279864,2646171.8282751003,2547530.2487139194,2669514.5945670367,2665209.099924083,,2962464.149286008,
91,6.428571428571428,1873960.0232837414,2213712.6456397115,,2215444.0279262587,1827892.6356982775,,,2604834.3480406418,2119965.7168894745,,,2646325.4212352573,2652296.8885712703,2702901.7143176985,2587640.622991099,2646118.2751591904,,3055524.329744414,
92,6.5,1989210.9404763223,2293130.393697948,1930879.700112494,2334988.1746990043,1742521.9933652522,2216664.880847555,,2217608.603863886,1935164.201078242,,,2587358.2261302196,2701346.1786555196,,,2555050.2625849256,2973267.5545728947,3013594.047908615,
93,6.571428571428571,2091942.0657656388,2078035.329328263,2027979.6023078852,,,,,2552930.6849867296,,,,2622084.0151034864,2727274.079619634,,,2628139.6577323214,,2751003.0005366374,
94,6.642857142857142,2005821.7414395898,2253809.664104612,,2271080.321976692,1738970.6877447122,2236452.8921310627,,2413665.704686382,2029406.1580583327,,,2705377.515286557,2642788.293589179,2628812.1516220807,,2727494.8324353024,,3045394.611891778,
95,6.7142857142857135,2016739.2605470049,2153778.726381902,2017790.4351548108,2270096.6277827504,1738022.5139481337,,,2490270.9025360323,1749574.936595066,,,2914588.394639214,2364173.38560472,2730323.433758765,2823590.239745633,2424079.1573786507,,2933479.0912406463,
96,6.785714285714286,2028922.6269951903,,,2191503.2402802133,1755035.290731505,,,2419902.9472703384,1996720.7552469338,,,2583996.8718276382,2534706.410663913,2522335.737040474,,2644949.244884902,3033121.6290315585,3188852.456372088,
97,6.857142857142857,2124805.440974112,2153214.498256711,,2118009.60104237,1929612.5418941046,2165951.7715711785,,2459704.216547113,1742022.9188601328,,,2736594.1840363215,2481391.8917950103,2749039.446019493,,2722337.2171828756,3023182.299370837,3182114.001912179,2952070.383908831
98,6.928571428571428,1911561.3855952632,2270599.488407244,2074805.3772397712,2285703.0827637166,1766915.6536643973,2280302.823429428,,2170372.437723353,2057278.8334206752,,,2406783.5277112215,2374404.33850907,2771237.4085565624,2963240.2027823008,2364232.867194469,,3038223.6204002737,
99,7.0,2138818.710526905,1963236.5363747336,,2299300.863674374,1760241.0529870507,,,2429155.6166892517,1918108.4186892586,,,2648254.461770436,2590703.390494089,2754731.259550438,,2581327.137955798,,2652591.3202729854,
100,7.071428571428571,2164089.3426213423,1884418.2828253254,2181009.8664959758,2178868.9887336805,1809886.8127001654,,,2263473.6491119247,1982465.9174262537,,,2660040.4342174884,2551148.9591555893,2819105.625064521,,2705913.5584104164,2966689.742831705,3147158.772028227,
