Frame,Time,0001_1,0001_2,0001_3,0001_4,0001_5,0001_6,0001_7,0002_1,0002_2,0002_3,0002_4,0002_5
190,13.5,,2510993.572724101,,,,,,,2571153.6743862056,2245699.898515241,2996687.7807668103,2843260.7065673424
191,13.571428571428571,2123586.548255533,2415575.2181710578,,,,,,,2371748.038245036,,2932103.799809115,2678874.2414953504
192,13.642857142857142,,2376484.7838401734,,,,,,,2464405.1177098663,,2954134.2043958567,
193,13.714285714285714,,2309289.3227937813,,,,,,,,,3124163.477847686,
194,13.785714285714285,,2213131.0766932704,,,,,,,2574255.745795795,,3150036.4953785883,
195,13.857142857142856,,2466987.7063315907,,,,,,,,,2852580.5458755163,2702385.9450919703
196,13.928571428571429,2281692.0988261797,2370664.6273798686,,,,2250614.3539813696,,,2464510.772320115,,2901479.4868452465,
197,14.0,,2593261.8613619185,,,,2270988.5541474815,,,,,3148432.8937831917,
198,14.071428571428571,2136895.451515669,2525300.0032863626,,,,2357133.3144616955,,,,,3178392.8622046253,2851211.103275611
199,14.142857142857142,,2593937.8697535736,,,2074642.7057188812,2173642.7635797886,,,2573934.051380514,,2997455.6861254713,
200,14.214285714285714,2261415.023630439,2695708.0691672163,,,1962919.539895885,,,,,,3083674.552894534,2715207.8291866477
201,14.285714285714285,2196332.053617391,2380465.0337184574,,,1936475.4275291143,,,,2265373.518804127,,2794735.987651295,2718866.187207472
202,14.357142857142856,,2491245.700136111,,,2132475.054549482,2278962.8368617045,,,2582087.7066203295,,2732879.8972266377,
203,14.428571428571429,2284715.7060073395,2405774.213573114,,,,2339998.8590419623,,,,,2739563.4359702463,
204,14.5,2155061.1525738593,2440200.0704357275,,,,,,,2496489.422154931,,2643864.55778137,
205,14.571428571428571,2159365.613930689,2596547.903511919,,,2082608.89697495,,,,2439685.1584695834,,2976108.4753123657,2776022.1653494784
206,14.642857142857142,2074519.848839177,2643365.6576059605,,,2214755.083456164,,,,,,2773207.1224238146,
207,14.714285714285714,,2393383.829082893,,,2039760.8911880902,2393195.2642170475,,,,,2809207.2483246536,
208,14.785714285714285,,2425654.782459846,,,2140396.764324983,2353085.762584267,,,2347903.807201386,,2797860.6108396403,2795689.174409955
209,14.857142857142856,,,,,2034680.771502015,2341192.399941189,,,,,3040662.344818661,
210,14.928571428571429,,2422439.8919391595,,,,2281447.237722891,,,,,2996231.0529397517,2739957.958081146
