Condition_mM,Track,Time,MidpointBendingAngle_deg,AutocorrPeakR,AutocorrPeriod_s,ZeroCrossings_10s,WindowAmplitude_deg,ThrashRate_Hz
21,0001_1,15.642857142857142,5.264320346240848,0.11641286062989785,1.2857142857139934,16,216.22599177759753,0.0
21,0001_1,15.714285714285714,15.01038600078071,0.11716601172553538,1.2857142857139934,16,216.22599177759753,0.0
21,0001_1,15.785714285714285,15.01038600078071,0.1099284049225568,1.2142857142854382,16,216.22599177759753,0.0
21,0001_1,15.857142857142856,15.01038600078071,0.09902692567171287,1.2142857142854382,15,216.22599177759753,0.0
21,0001_1,15.928571428571429,13.275707649202568,0.1341619836399308,1.2142857142854382,15,216.22599177759753,0.0
21,0001_1,16.0,-24.39530556968178,0.12157516063878568,1.2857142857139934,15,216.22599177759753,0.0
21,0001_1,16.07142857142857,-62.06631878856613,0.10066798795619968,1.2142857142854382,15,216.22599177759753,0.0
21,0001_1,16.142857142857142,,,,0,,
21,0001_1,16.21428571428571,,,,0,,
21,0001_1,16.285714285714285,88.59801326876956,0.10667513991979513,1.2142857142854382,16,216.22599177759753,0.0
21,0001_1,16.357142857142858,,,,0,,
21,0001_1,16.428571428571427,,,,0,,
21,0001_1,16.5,-73.28651876522895,0.09277125133794586,1.2142857142854382,15,216.22599177759753,0.0
21,0001_1,16.57142857142857,,,,0,,
21,0001_1,16.642857142857142,,,,0,,
21,0001_1,16.71428571428571,,,,0,,
21,0001_1,16.785714285714285,,,,0,,
21,0001_1,16.857142857142858,,,,0,,
21,0001_1,16.928571428571427,,,,0,,
21,0001_1,17.0,,,,0,,
21,0001_1,17.07142857142857,,,,0,,
21,0001_1,17.142857142857142,,,,0,,
21,0001_1,17.21428571428571,,,,0,,
21,0001_1,17.285714285714285,,,,0,,
21,0001_1,17.357142857142858,,,,0,,
21,0001_1,17.428571428571427,,,,0,,
21,0001_1,17.5,,,,0,,
21,0001_1,17.57142857142857,,,,0,,
21,0001_1,17.642857142857142,,,,0,,
21,0001_1,17.71428571428571,,,,0,,
21,0001_1,17.785714285714285,,,,0,,
21,0001_1,17.857142857142858,,,,0,,
21,0001_1,17.928571428571427,,,,0,,
21,0001_1,18.0,,,,0,,
21,0001_1,18.07142857142857,,,,0,,
21,0001_1,18.142857142857142,-20.106329783066485,0.13893748497968467,1.3571428571425486,14,216.22599177759753,0.0
21,0001_1,18.21428571428571,-47.32194370304485,0.13864329796188823,1.2142857142854382,14,216.22599177759753,0.0
21,0001_1,18.285714285714285,-74.53755762302322,0.13778097213339432,1.3571428571425486,15,216.22599177759753,0.0
21,0001_1,18.357142857142858,-96.05875509419695,0.13260805229322606,1.2142857142854382,14,216.22599177759753,0.0
21,0001_1,18.428571428571427,-96.05875509419695,0.13260805229322606,1.2142857142854382,14,216.22599177759753,0.0
21,0001_1,18.5,-96.05875509419695,0.14049581696573377,1.3571428571425486,14,216.22599177759753,0.0
21,0001_1,18.57142857142857,-54.89269707026615,0.16393782971025922,1.2142857142854382,14,216.22599177759753,0.0
21,0001_1,18.642857142857142,-2.978612510662567,0.1632014936852325,1.2142857142854382,14,216.22599177759753,0.0
21,0001_1,18.71428571428571,,,,0,,
21,0001_1,18.785714285714285,59.07049905444383,0.10328490082962045,1.2142857142854382,15,216.22599177759753,0.0
21,0001_1,18.857142857142858,90.09071927626081,0.10328490082962045,1.2142857142854382,15,216.22599177759753,0.0
