Condition_mM,Track,Time_to_max_speed_loss_s,Min_normalized_speed_pct,Max_speed_loss_pct
950,0003_7,473.8571428571428,0.0,100.0
950,0003_8,223.14285714285717,0.014403166794592923,99.9855968332054
950,0003_9,395.21428571428567,0.0,100.0
950,0003_10,497.5,0.005170145733255936,99.99482985426674
950,0004_1,142.78571428571428,0.0,100.0
950,0004_2,168.57142857142856,0.0,100.0
950,0004_3,241.85714285714283,0.0,100.0
950,0004_4,155.92857142857142,0.0,100.0
950,0004_5,231.14285714285717,0.0,100.0
950,0004_6,184.42857142857144,0.0,100.0
950,0004_7,216.28571428571428,0.0,100.0
950,0004_8,167.2142857142857,0.0,100.0
950,0004_9,264.7857142857143,0.0,100.0
950,0004_10,188.2142857142857,0.0,100.0
1050,0001_1,416.8571428571428,0.002044415256152192,99.99795558474385
1050,0001_2,12.785714285714285,5.8590620082839475,94.14093799171606
1050,0001_3,87.07142857142857,0.05626127922556684,99.94373872077443
1050,0001_4,244.5,0.0,100.0
1050,0001_5,188.14285714285717,0.01017050813196423,99.98982949186804
1050,0001_6,131.78571428571428,0.012261338305459833,99.98773866169454
1050,0001_7,276.35714285714283,0.032444952668470535,99.96755504733153
1050,0001_8,569.7142857142857,0.0,100.0
1050,0001_9,495.21428571428567,0.0050881005598683755,99.99491189944013
1050,0001_10,114.85714285714285,0.010408982536198508,99.9895910174638
1050,0002_1,373.3571428571428,0.0,100.0
1050,0002_2,151.2142857142857,0.0,100.0
1050,0002_3,369.2857142857143,0.0,100.0
1050,0002_4,181.0,0.0,100.0
1050,0002_5,346.2142857142857,0.0,100.0
1050,0002_6,9.5,2.9562472874655783,97.04375271253443
1050,0002_7,181.0,0.0,100.0
1050,0003_1,157.0,0.0,100.0
1050,0003_2,167.07142857142856,0.0,100.0
1050,0003_3,189.35714285714283,0.0,100.0
1050,0003_4,239.85714285714283,0.0,100.0
1050,0003_5,148.2142857142857,0.0,100.0
1050,0003_6,167.2142857142857,0.0,100.0
1050,0003_7,117.64285714285714,0.0,100.0
1050,0003_8,433.5,0.0,100.0
1050,0003_9,207.07142857142856,0.0,100.0
1050,0004_1,366.7857142857143,0.0,100.0
1050,0004_2,150.64285714285714,0.0,100.0
1050,0004_3,205.14285714285717,0.0,100.0
1050,0004_4,317.7857142857143,0.0,100.0
1050,0004_5,260.4285714285714,0.0,100.0
1050,0004_6,303.2142857142857,0.0,100.0
1050,0004_7,270.7142857142857,0.0,100.0
1050,0004_8,545.6428571428571,0.011241952208206493,99.98875804779179
