Frame,Time,0001_1,0001_2,0001_3,0001_4,0002_1,0002_2,0002_3,0003_1,0003_2,0003_3,0004_1,0004_2,0005_1,0005_2,0005_3,0006_1,0006_2,0006_3,0007_1,0007_2,0007_3
47,3.2857142857142856,,2948684.4514505914,2821203.4917724812,,2245999.0980670974,2450654.302722724,,2480084.488722769,2594966.4299044516,2300591.357987684,2345598.811735372,2683258.231240215,3307279.4326460236,2858565.5303633115,,2594874.9680179777,2508215.411539925,2785450.91871453,3331195.8305503577,,
48,3.3571428571428568,,2808795.8445616635,2481214.8867139383,,2191065.4324587826,2453079.4130710973,,2534507.5711926115,,2350693.5168252955,2412516.463206545,2558566.7471024795,3149384.5509572485,2797437.323745569,,2598892.514544206,2567367.014798656,,3495349.508496653,,3625707.919236856
49,3.4285714285714284,2648920.2267891495,,2413706.968331088,,2582468.3412507693,2262469.0581478705,2491821.594804308,2404591.435776389,2505714.484131735,2396194.4365463573,2532983.0555343674,2651718.793338317,2915577.931249697,2608181.7382424795,,2470574.988723057,2529876.230323279,2570651.2349745617,3374285.056015613,,3145630.5260491623
50,3.5,,,,,2103049.999566796,2618663.2646921864,2346622.018592514,2415289.7458469737,2840122.731183937,2531088.0759090376,2428003.0998210036,2697055.299694433,3248844.2773700817,2770884.77627381,,2515404.874677487,2515486.221627545,,3353763.048849042,,3308320.3353872956
51,3.571428571428571,,,2511872.5849708226,,2311204.2575648488,2365541.5210214467,2221827.439106564,2335868.779312747,,2611912.7768018623,2367585.590542277,2710872.280278465,3223083.8724359106,2855753.1370032965,,2474598.028863106,2531724.158345305,2469582.1695911586,3415082.5872040126,,
52,3.642857142857143,2522676.9214604977,2921980.50272239,,,2265994.0027565025,2506075.664118026,1774030.6545753567,2374383.588179791,2778034.651186067,2203420.348548238,2510812.478338443,2519602.8303144914,3224675.3268993828,2996105.7857013047,3137717.532562647,2663174.719975437,2481012.5084162652,2767112.7222931623,3232029.00033059,,3602164.7086819718
53,3.714285714285714,2378983.0458427644,3177493.9662164864,,,2028037.7330572985,2254637.5860573915,1975166.7357466638,2705654.0164504997,2460334.927666822,2356959.276027501,2309300.395662358,2782277.8392346404,3088572.324823009,2922127.7772553065,3389264.8724339665,2740332.1055355477,2372265.391844046,2659900.9659041157,3504921.4910868253,,3485854.9429852148
54,3.7857142857142856,2140857.7791529084,2831524.2273961036,2408374.032321753,,2255721.5264007137,2383123.147658538,,2391514.9651142196,2676894.4441124694,2491562.2840095647,2260855.9706006898,2805723.4187017833,2964461.810891285,2936643.4707099125,,2690705.111988151,2232546.2548676985,2368802.368272397,3758093.0957715428,,3018518.2882087356
55,3.8571428571428568,2399543.0114188096,2783738.792134869,2429058.1517201834,,2120838.904988006,2419210.4879870946,2648303.0871415255,2528200.7732897927,2542925.8304598043,2218158.8024154645,2573746.522987793,2664645.5370215694,3081678.5290452032,2911184.280453215,,2525152.147326364,,2247237.1267332025,3120762.549546251,,3432861.4661266846
56,3.928571428571429,,3105977.043410235,,,2143528.532906446,2457166.8535521934,2443811.8159094127,2595847.8994529257,2672705.1692214333,2512149.18719527,2525518.944379546,2659139.099371242,3067613.588581631,2965219.146122669,,2496072.291957624,2494096.224682019,2391970.099701032,3452248.2163459035,,3513578.070530262
57,4.0,,,2480155.046016737,,2387545.4347241577,2286382.1689503714,2277927.9235897125,2444253.348960731,2703498.7503040405,2502039.6101984326,2522582.5238793744,2767085.316122559,3196877.865687939,2869155.2589849425,,2458134.0977733885,2518814.9715723908,2502922.303144443,3351269.7240375127,,3344967.255492847
58,4.071428571428571,2466685.0904892357,2916694.3750353726,,,2253850.5411083335,2282472.293843959,,2369612.5323862266,2737208.251643779,2359610.967299634,2613005.2944705337,2763138.139558578,3063655.295508609,2919133.319010278,2873438.3950552475,2489417.5311693656,2268935.420536572,2221709.5869689095,3730747.026916072,,3254415.6161361476
59,4.142857142857142,2333072.6659991355,2751665.7480409374,,,2066437.623001008,2320125.416670567,2139516.43624497,2551924.0434806724,2547228.9534612987,2254671.870602364,2241287.5495360987,2713091.708666264,3236242.3891055835,3077982.9072673707,2853166.6247735354,2546128.280449765,2437602.9730744353,2358476.854908389,3178099.0341699338,2994824.7784379353,3816209.135938349
60,4.214285714285714,2429501.7776551116,3281506.7607965805,2454730.6759488904,,2287687.6715355865,2261758.783276743,2033133.0587438962,2402704.686435316,2505599.888030822,2146873.099413005,2372486.7187205404,2739831.6260835654,3341645.8952035205,2638505.6068067336,,2530343.3853757675,2254826.658150056,2797847.360839049,3368274.850994526,,3532545.4799466077
61,4.285714285714286,2191514.1318107443,2950627.393757918,2400239.4873262737,,2242340.3995335903,2243490.1511895633,,2339997.448908025,2314165.8067037705,2401041.6177760665,2406415.397813997,2747348.826719163,3299870.230091993,2898605.396452956,,2598503.252445574,2429481.0301674777,2318724.220295247,3532046.203608412,,3150723.799880965
62,4.357142857142857,,3036247.3299323893,,,2190010.708562824,2363782.9780594315,,2448541.7980517014,2813461.3100925996,2386931.263525287,2387275.6248766067,2743303.364174603,3137999.151199633,2816051.2598564406,2860595.370055204,2263128.772235784,2242702.122029281,2592201.860137356,3352369.065471465,,3099256.754541747
63,4.428571428571428,,3100247.1436980697,,,2466812.943216519,2519483.329500734,2346969.7262099413,2431673.7313871174,2515026.5245927535,2328634.7864905857,2374279.0716683627,2573536.166583166,3031818.0487584984,2613756.4263212956,,2417606.8595332755,2318163.9181195498,2850751.143584982,3235492.698925956,,2920521.8614099524
64,4.5,,,2453111.5886855945,,2298362.9109672066,2401173.028695623,1925133.7849853665,2650128.086389014,2592187.8809340033,2437212.1475968263,2577504.9427476143,2731457.879215392,3008310.5830087,2901132.666735648,,2617837.136364798,2270496.6933300104,2203774.0205874695,3297678.9292543316,,3456924.021880854
65,4.571428571428571,,2874631.2042882503,,,2297453.206233753,2316339.822417025,1728275.8475075355,2565988.5648422837,2693292.6549821454,2268950.6864899048,2446691.9915696518,2787689.9274700056,3175069.910204029,2745817.7556055347,2731914.5587746925,2451074.270172229,2536160.522642382,2194807.3666974013,3459488.2034901315,,3240443.5221646745
66,4.642857142857142,,,,,2160488.5377246155,2244596.936616119,1884916.4665425566,2664842.8156274264,2459124.144513182,2643515.272586681,2428062.132425583,2801851.215251171,3147087.095837043,2695384.9891849654,2954187.016885445,2626802.935903072,2651075.2450226075,2130128.6938637868,3317268.758891941,,3445520.3372906353
67,4.714285714285714,,3099962.407772658,2387209.0976962624,,2144020.0582677745,2272259.334107098,2638128.1695966087,2379272.0342817777,2370972.5713778157,2510492.1081016366,2404730.3905187184,2551817.4126425628,3374812.5291746627,2866098.1845645094,,2604935.9573815684,2549092.8083203286,2185393.052497713,3310517.4637943157,,3342329.7398559023
68,4.785714285714286,,3003306.329844015,2440670.3899870617,,2142259.5910674073,2327462.49618535,2449169.6534693874,2481858.394812466,2355172.5543969176,,2350393.714145129,2806722.877820894,3335298.3062513405,2944577.1610370064,,2649851.9934768253,2606949.460180344,2742044.610113526,3624370.783617247,,3645112.992459851
69,4.857142857142857,,2897772.429351672,2594714.7285736706,,2323777.1392381913,2385931.810047325,2328711.266194463,2490250.707167251,2775144.3220928335,2294712.97175561,2147898.4002039093,2670286.8227325683,3364915.3309259755,2720187.142485571,2874142.691096931,2408894.9105971646,2466633.4879113766,2655283.2636928596,3532630.986664948,2784254.7739313617,3855235.9581026444
70,4.928571428571428,,3049133.124642174,2463172.6488500126,,2330136.9175401563,2321910.835269466,2377787.3666724274,2434408.3015085207,2655073.2348670596,2376816.9483182845,2364249.413232641,2858230.4996443875,3295352.213419677,2703533.046760009,3162557.389738981,2341260.4040759727,2512391.898516526,2835068.5358661697,3441962.3639527336,,3589402.9626730937
71,5.0,,,2406098.2305059806,2388818.403500612,2093202.5258073402,2487122.5212501804,1886053.416015634,2507619.85608326,2431336.823778455,2411187.179911337,2344910.0991366715,2729685.381217769,3077732.001817468,2616936.23677124,2815349.872348826,2368250.371752305,2345655.1295321896,2930052.8514196314,3552599.040333751,,3676037.5285172663
