Condition_mM,Track,Modality,DynamicRangePct,OnsetTime_s
850,0002_3,Speed,99.39972189702533,52.07142857142857
850,0002_4,Speed,51.933433771767106,21.785714285714285
850,0003_1,Speed,99.53643809693796,47.64285714285714
850,0003_2,Speed,98.3880363560838,20.07142857142857
850,0003_3,Speed,98.47559014779631,35.57142857142857
850,0003_4,Speed,99.76924755053795,88.07142857142857
850,0003_5,Speed,99.05974880803701,20.5
850,0003_6,Speed,99.76716320845433,45.57142857142857
850,0003_7,Speed,99.76070240999074,23.07142857142857
850,0003_8,Speed,99.76259185763055,11.571428571428571
850,0003_9,Speed,96.74066010318401,1.1428571428571428
850,0003_10,Speed,99.64952966537743,3.5
850,0004_1,Speed,99.37717369963406,58.57142857142857
850,0004_2,Speed,99.09573904636316,74.28571428571428
850,0004_3,Speed,98.99790847952619,54.57142857142857
850,0004_4,Speed,99.41659471731789,18.21428571428571
850,0004_5,Speed,99.11445752538653,10.214285714285714
850,0004_6,Speed,99.64616603430761,41.92857142857142
850,0004_7,Speed,98.95883184482621,13.5
850,0004_8,Speed,99.06230622189165,39.64285714285714
950,0001_1,Speed,97.01550124532021,58.85714285714285
950,0001_2,Speed,99.28289302815776,44.07142857142857
950,0001_3,Speed,97.77300301937873,18.71428571428571
950,0001_4,Speed,98.7946774570862,83.14285714285714
950,0001_5,Speed,89.35125465401782,32.14285714285714
950,0001_6,Speed,98.58733086432369,57.21428571428571
950,0002_1,Speed,99.67302874968622,33.0
950,0002_2,Speed,99.29156913797095,30.428571428571427
950,0002_3,Speed,98.56406020038386,45.57142857142857
950,0002_4,Speed,99.07319114530839,51.785714285714285
950,0003_1,Speed,99.02790046938063,10.428571428571429
