Frame,Time,0001_1,0001_2,0001_3,0001_4,0001_5,0001_6,0002_1,0002_2,0002_3,0002_4,0003_1,0003_10,0003_2,0003_3,0003_4,0003_5,0003_6,0003_7,0003_8,0003_9,0004_1,0004_10,0004_2,0004_3,0004_4,0004_5,0004_6,0004_7,0004_8,0004_9
177,12.571428571428571,,,,,1455887.826351237,,,,,,,,,,,,,2599309.8467481197,,,,,,,,,,,,2472922.871411662
178,12.642857142857142,,,,,1447559.6198417698,,,,,,,,,,,,,2644066.9481420876,,,,,,,,,,,,
179,12.714285714285714,,,,,1276433.545253448,,,,,,,,,,,,,2703330.2092925897,,,,,,,,,,,,2472064.063073067
180,12.785714285714285,,,,,1214501.4077664372,,,,,,,,,1797362.2505915244,,,,2611625.5497432943,,,,,,,,,,,,2345368.4479861315
181,12.857142857142856,,,,,,,,,,2169593.5397204175,,,,,,,,2670845.4205548554,,,,,,,,,,,,
182,12.928571428571429,,,,,,,,,,2306531.665833704,,,2013738.7235983599,,,,,2787382.538340443,,,,,,,,,,,,
183,13.0,,,,,1255207.2617791274,,,,,2311352.324805908,,,,,,,,2598330.5786926583,,,,,,,,,,,,2248265.8329170397
184,13.071428571428571,,,,,,,,,,,,,,,,,,2592925.931945709,,,,,,,,,,,,
185,13.142857142857142,,,,,1220951.6503064435,,,,,2206520.161773184,,,,,,,,2694406.376443924,,,,,,,,,,,,
186,13.214285714285714,,,,,1267429.6066098812,,,,,2289820.725762174,,,,,,,,2734656.4975123606,,,,,,,,,,,,2368649.36913427
187,13.285714285714285,,,2088409.696020008,,1416915.4031182847,,,,,,,,,1840025.5394077378,,,,2597313.117229783,,,,,,,,,,,,2422928.464705908
188,13.357142857142856,,,2179607.8573308038,,,,,,,,,,,1840025.5394077378,,,2598213.8750067004,2712385.206758535,,,,,,,,,,,,
189,13.428571428571429,,,,,,,,,,2328524.7418326726,,,,,,,2613504.546321458,2864299.393776618,,,,,,,,,,,,2259884.82337846
190,13.5,,,,,,,,,,,,,,,,,2389572.5480305324,2687298.961951526,,2024380.372710697,,,,,,,,,,2348636.267698394
191,13.571428571428571,,,,,1345635.0756722775,,,,,,,,,,,,2645201.975736588,2663916.992643589,,,,,,,,,,,,2425525.878050765
192,13.642857142857142,,,,,,,,,,,,,,,,,2378328.252508365,2664298.160887196,,,,,,,,,,,,
193,13.714285714285714,,,,,1351215.7798310663,,,,,,,,,,,,2544113.108760723,2713272.3469285206,,,,,,,,,,,,2506918.3402773715
