Frame,Time,0001_1,0001_2,0001_3,0001_4,0001_5,0002_1,0002_2,0002_3,0003_1,0003_2,0003_3,0003_4,0003_5,0004_1,0004_2,0004_3,0004_4,0004_5
58,4.071428571428571,1775063.1612860395,,2260309.2414557035,,,2416593.3507979265,,,,1803228.7995298177,2180512.017000836,1873016.9503439823,,2070554.417810733,,1624999.2084368838,,
59,4.142857142857142,1880508.230010085,,2180007.81775113,,,2532353.470355496,,,,1610365.782714112,2071976.1053846423,1709758.8968456704,,1855160.6918187076,,,2182528.777704504,
60,4.214285714285714,1809234.3529179671,,2090464.9061497066,,,2344659.1674867584,,,2089676.4621940295,1753791.8874914022,2056665.6871060764,1634829.3011299488,,1877311.8117970072,,1900885.3028390268,,
61,4.285714285714286,1791621.0096170462,,2062087.6475537287,,,2378291.235452928,,,1926357.0561534974,1875503.0852652362,,1766662.4186356189,,1793465.8722846494,,,2157705.711217054,
62,4.357142857142857,,,2253791.22822532,,,2138314.3866678397,,,2103560.9687717925,1808899.1946725545,2328549.4434649735,1953604.936883218,,1912903.1809677712,,,2106439.628485814,
63,4.428571428571428,,,2110010.9915311607,,,2497338.114519048,,1961658.0797186065,2071951.5164203516,1763811.6291150828,1997792.4845929001,2043015.1839976937,,2104251.7714804728,,1870810.943245583,,
64,4.5,,,2018274.1465066618,,,2511005.672616298,,1865522.7731230613,2094941.1817690246,1696469.1439555478,2139239.534865848,1787966.363360836,,,,,2201705.3115188917,
65,4.571428571428571,,,2192846.9281825842,,,2275254.410539898,,1878793.4090562884,1955169.0040843443,1863196.957618035,2212461.1510905144,1849715.8783906675,,,,,,
66,4.642857142857142,,,2186014.0126639265,,,2465437.2374479114,,1878124.3720160294,2039347.4390650585,,2115977.559139767,1900699.5064599323,,1879667.5276879484,,,2107044.030406869,
67,4.714285714285714,,,2235746.784336945,,,2248528.485881381,,1902777.5237975295,2144013.4294395545,1742037.0033845375,2134555.1681217775,1791385.7425376428,,1746382.7117011403,,,2129005.295301045,
68,4.785714285714286,,,2183548.016759847,,,2210590.8430741266,,1841601.7098033412,2076287.7289014973,1742264.20644099,1971457.5811697943,1794296.4913149122,,1934203.106816418,,,,
69,4.857142857142857,,,2173538.9224808877,,,2476508.210790967,,,,1730585.6494971006,2127035.1499431618,1794296.4913149122,,1834285.6158653365,,,,
70,4.928571428571428,,,2181008.7166105094,,,2316556.168414668,,,2010061.4145510262,1804533.8150044864,,1794296.4913149122,,1877807.3708486336,,,2138913.6375335366,
71,5.0,,,1857906.8274084511,,,2184275.917654176,,1764687.4198837436,1958074.3884247418,1921143.9709040606,,1794296.4913149122,,1891212.8568765367,,,2147986.9446716015,
72,5.071428571428571,,,2138901.047623823,,,,,,,1821513.2921620633,1778481.0748205774,,,1808625.8362705263,,,,
73,5.142857142857142,,,2045255.0190853737,,,2420515.3876383277,,,,1875819.8309283596,2281676.6744210892,,,1826222.3650236214,,,2052692.62988199,
74,5.214285714285714,,,2206656.811434803,,,2563428.1782293436,,,,1793654.674581486,2309199.6280023684,1876159.881243757,,1874625.8268762566,,1869419.3270207434,2118172.9915125812,
75,5.285714285714286,1764494.4529292225,,,,,2189829.984885097,,1949997.9681579089,1999712.227726768,1864286.8835260693,2163062.6832435383,1889613.0099586893,,1750428.136253555,,1816438.0403323162,,
76,5.357142857142857,1731021.0616140512,,2204828.9592087944,,,2223423.1156841144,,1822440.8549508776,,1776510.5880147803,2137725.444270026,2044932.3808685795,,1910673.29678179,,,2033657.5506362377,
77,5.428571428571428,1864941.570097513,,2170324.6526870914,,,,,,1937756.7371842964,1813423.0842085104,2105056.3570381994,1841849.9253848726,,1933353.875515694,,,2185246.9943488743,
78,5.5,1747935.5654084347,,2274313.2225350463,,,2323995.7726835534,,1704540.701950474,2126245.017379145,1666341.502265639,1996655.089912062,,,2017933.1295742854,,,,
79,5.571428571428571,1718728.236071609,,2182934.459060808,,,2414593.786116779,,1873046.1919341441,,2075974.750581015,1967732.5887931895,,,1815174.632556863,,,1998636.303255081,
80,5.642857142857142,1893080.4797430637,,2063317.1122473218,,,,,1724173.597806228,2118702.0755721824,1759137.731338908,2120481.9927381864,,,1824536.3220026533,,1845380.0875259475,,
81,5.7142857142857135,,,2130270.185016425,,,2253103.3401820003,,1724173.597806228,2038944.9798584478,1915669.9150581674,1940206.4186878945,1639946.5984269215,,1906503.4265122274,,1903643.9881891613,,
